2026-05-26 10:57:15, MOVE, v:1, k:ed@lista_d3, mode:PICK
2026-05-26 11:00:22, MOVE, v:1, k:ed@lista_d3, mode:BACK
2026-05-26 11:00:43, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-26 11:00:47, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-26 11:00:52, MOVE, v:1, k:ed@lista_d3, mode:PICK
2026-05-26 11:11:57, MOVE, v:1, k:ed@lista_d3, mode:BACK
2026-05-26 11:12:02, MOVE, v:1, k:ed@lista_d3, mode:PICK
2026-05-26 11:23:39, MOVE, v:1, k:ed@lista_d3, mode:BACK
2026-05-26 11:23:45, MOVE, v:1, k:ed@lista_d3, mode:PICK
2026-05-26 11:23:36, MOVE, v:1, k:ed@lista_d3, mode:EDIT
2026-05-26 11:23:37, MOVE, v:1, k:ed@lista_d3, mode:EDIT
2026-05-26 11:26:46, MOVE, v:1, k:ed@lista_d3, mode:BACK
